The load Love numbers from the REAR package are attached. There are no 
more of these oscillations at high degree, and they go up to degree 32768.
November 20, 2015，Jean-Paul
CM: center of mass reference frame
    n     h' (vert)         l' (horiz)         k' (potent)
  219  -0.3577548247D+01  0.4230165462D-02  -0.7192526758D-02
  220  -0.3582327154D+01  0.4211101750D-02  -0.7167059484D-02
  221  -0.3587098828D+01  0.4192254562D-02  -0.7141832336D-02
  222  -0.3591860686D+01  0.4173619428D-02  -0.7116830704D-02
  223  -0.3596613737D+01  0.4155190488D-02  -0.7092055789D-02
  224  -0.3601389237D+01  0.4136896822D-02  -0.7067640411D-02
  225  -0.3606156090D+01  0.4118809197D-02  -0.7043444381D-02
  226  -0.3610914947D+01  0.4100914253D-02  -0.7019467986D-02
  227  -0.3615674292D+01  0.4083206847D-02  -0.6995744049D-02
  228  -0.3620445412D+01  0.4065643268D-02  -0.6972317931D-02
  229  -0.3625202181D+01  0.4048291211D-02  -0.6949074093D-02
  230  -0.3629960255D+01  0.4031110753D-02  -0.6926075851D-02
  231  -0.3634716808D+01  0.4014102804D-02  -0.6903308275D-02
  232  -0.3639472187D+01  0.3997264665D-02  -0.6880770024D-02
  233  -0.3644224683D+01  0.3980597931D-02  -0.6858450669D-02
  234  -0.3648994097D+01  0.3964064405D-02  -0.6836428658D-02
  235  -0.3653729916D+01  0.3947754283D-02  -0.6814492956D-02
  236  -0.3658485397D+01  0.3931570287D-02  -0.6792859702D-02
  237  -0.3663236264D+01  0.3915553799D-02  -0.6771426158D-02
  238  -0.3667982722D+01  0.3899704944D-02  -0.6750190525D-02
  239  -0.3672735946D+01  0.3883996643D-02  -0.6729195268D-02
  240  -0.3677481090D+01  0.3868458230D-02  -0.6708377551D-02
  241  -0.3682221287D+01  0.3853073884D-02  -0.6687747836D-02
  242  -0.3686960167D+01  0.3837846007D-02  -0.6667317496D-02
  243  -0.3691701491D+01  0.3822759076D-02  -0.6647099117D-02
  244  -0.3696443540D+01  0.3807821564D-02  -0.6627083012D-02
  245  -0.3701189234D+01  0.3793023478D-02  -0.6607278028D-02
  246  -0.3705923691D+01  0.3778382626D-02  -0.6587623974D-02
  247  -0.3710656263D+01  0.3763887528D-02  -0.6568154481D-02
  248  -0.3715387199D+01  0.3749534190D-02  -0.6548868438D-02
  249  -0.3720203422D+01  0.3735207388D-02  -0.6530094678D-02
  250  -0.3724862430D+01  0.3721222055D-02  -0.6510906232D-02
  251  -0.3729615622D+01  0.3707252737D-02  -0.6492258239D-02
  252  -0.3734317451D+01  0.3693477652D-02  -0.6473597117D-02
  253  -0.3739034745D+01  0.3679816357D-02  -0.6455172563D-02
  254  -0.3743755696D+01  0.3666279634D-02  -0.6436937803D-02
  255  -0.3748489099D+01  0.3652862408D-02  -0.6418922515D-02
  256  -0.3753208602D+01  0.3639584102D-02  -0.6401027485D-02
  257  -0.3757924810D+01  0.3626435802D-02  -0.6383289856D-02
  258  -0.3762639422D+01  0.3613414706D-02  -0.6365713767D-02
  259  -0.3767364877D+01  0.3600506766D-02  -0.6348342257D-02
  260  -0.3772076485D+01  0.3587734344D-02  -0.6331083864D-02
  261  -0.3776785905D+01  0.3575086173D-02  -0.6313979027D-02
  262  -0.3781494714D+01  0.3562556277D-02  -0.6297031579D-02
  263  -0.3786201119D+01  0.3550147763D-02  -0.6280233102D-02
  264  -0.3790903634D+01  0.3537856661D-02  -0.6263576832D-02
  265  -0.3795599357D+01  0.3525688034D-02  -0.6247050476D-02
  266  -0.3800362995D+01  0.3513578321D-02  -0.6230914248D-02
  267  -0.3805019989D+01  0.3501669901D-02  -0.6214554181D-02
  268  -0.3809699727D+01  0.3489853688D-02  -0.6198422973D-02
  269  -0.3814414405D+01  0.3478118885D-02  -0.6182559965D-02
  270  -0.3819105516D+01  0.3466512304D-02  -0.6166760318D-02
  271  -0.3823793756D+01  0.3455016397D-02  -0.6151094270D-02
  272  -0.3828479174D+01  0.3443627559D-02  -0.6135560528D-02
  273  -0.3833162406D+01  0.3432347447D-02  -0.6120159509D-02
  274  -0.3837865357D+01  0.3421160293D-02  -0.6104963591D-02
  275  -0.3842530627D+01  0.3410097886D-02  -0.6089777613D-02
  276  -0.3847221533D+01  0.3399124592D-02  -0.6074813033D-02
  277  -0.3851897381D+01  0.3388259816D-02  -0.6059932057D-02
  278  -0.3856570958D+01  0.3377499140D-02  -0.6045175839D-02
  279  -0.3861241633D+01  0.3366835077D-02  -0.6030541203D-02
  280  -0.3865769544D+01  0.3356334767D-02  -0.6015568183D-02
  281  -0.3870588669D+01  0.3345800627D-02  -0.6001677228D-02
  282  -0.3875272946D+01  0.3335423291D-02  -0.5987470696D-02
  283  -0.3879917811D+01  0.3325158567D-02  -0.5973261127D-02
  284  -0.3884561397D+01  0.3314986846D-02  -0.5959171736D-02
  285  -0.3889236750D+01  0.3304897756D-02  -0.5945307103D-02
  286  -0.3893894813D+01  0.3294905675D-02  -0.5931507922D-02
  287  -0.3898543530D+01  0.3285009269D-02  -0.5917798693D-02
  288  -0.3903188108D+01  0.3275204166D-02  -0.5904194990D-02
  289  -0.3907839446D+01  0.3265484627D-02  -0.5890730079D-02
  290  -0.3912489352D+01  0.3255855597D-02  -0.5877376390D-02
  291  -0.3917137624D+01  0.3246313671D-02  -0.5864132180D-02
  292  -0.3921776194D+01  0.3236861383D-02  -0.5850971087D-02
  293  -0.3926410238D+01  0.3227495405D-02  -0.5837908382D-02
  294  -0.3931040999D+01  0.3218215204D-02  -0.5824946734D-02
  295  -0.3935653912D+01  0.3209018136D-02  -0.5812040963D-02
  296  -0.3940320833D+01  0.3199901085D-02  -0.5799408320D-02
  297  -0.3944902230D+01  0.3190878329D-02  -0.5786622479D-02
  298  -0.3949563914D+01  0.3181929099D-02  -0.5774187127D-02
  299  -0.3954169091D+01  0.3173064139D-02  -0.5761686143D-02
  300  -0.3958810148D+01  0.3164272632D-02  -0.5749397942D-02
  301  -0.3963417258D+01  0.3155566919D-02  -0.5737110448D-02
  302  -0.3968023095D+01  0.3146936441D-02  -0.5724921694D-02
  303  -0.3972625730D+01  0.3138384430D-02  -0.5712824639D-02
  304  -0.3977240351D+01  0.3129907546D-02  -0.5700863369D-02
  305  -0.3981840246D+01  0.3121507813D-02  -0.5688957546D-02
  306  -0.3986442846D+01  0.3113183085D-02  -0.5677157759D-02
  307  -0.3991037470D+01  0.3104932436D-02  -0.5665431694D-02
  308  -0.3995629247D+01  0.3096756830D-02  -0.5653793401D-02
  309  -0.4000216286D+01  0.3088652678D-02  -0.5642236670D-02
  310  -0.4004780293D+01  0.3080619993D-02  -0.5630707795D-02
  311  -0.4009391524D+01  0.3072660364D-02  -0.5619408400D-02
  312  -0.4013998881D+01  0.3064770355D-02  -0.5608189820D-02
  313  -0.4018553369D+01  0.3056950010D-02  -0.5596911030D-02
  314  -0.4023107708D+01  0.3049197055D-02  -0.5585722951D-02
  315  -0.4027709688D+01  0.3041516008D-02  -0.5574759922D-02
  316  -0.4032265962D+01  0.3033900943D-02  -0.5563755942D-02
  317  -0.4036823582D+01  0.3026351047D-02  -0.5552844038D-02
  318  -0.4041376699D+01  0.3018867706D-02  -0.5542006709D-02
  319  -0.4045956984D+01  0.3011452979D-02  -0.5531331606D-02
  320  -0.4050499307D+01  0.3004100338D-02  -0.5520635801D-02
  321  -0.4055051742D+01  0.2996813126D-02  -0.5510052866D-02
