The load Love numbers from the REAR package are attached. There are no 
more of these oscillations at high degree, and they go up to degree 32768.
November 20, 2015，Jean-Paul
CM: center of mass reference frame
    n     h' (vert)         l' (horiz)         k' (potent)
 2696  -0.6213041520D+01  0.7017886706D-03  -0.1132152129D-02
 2697  -0.6213044785D+01  0.7015291368D-03  -0.1131733459D-02
 2698  -0.6213048040D+01  0.7012697926D-03  -0.1131315096D-02
 2699  -0.6213051285D+01  0.7010106377D-03  -0.1130897040D-02
 2700  -0.6213054520D+01  0.7007516723D-03  -0.1130479292D-02
 2701  -0.6213057746D+01  0.7004928957D-03  -0.1130061850D-02
 2702  -0.6213060962D+01  0.7002343081D-03  -0.1129644715D-02
 2703  -0.6213064168D+01  0.6999759090D-03  -0.1129227885D-02
 2704  -0.6213067365D+01  0.6997176983D-03  -0.1128811361D-02
 2705  -0.6213070552D+01  0.6994596759D-03  -0.1128395143D-02
 2706  -0.6213073729D+01  0.6992018415D-03  -0.1127979229D-02
 2707  -0.6213076897D+01  0.6989441949D-03  -0.1127563620D-02
 2708  -0.6213080056D+01  0.6986867359D-03  -0.1127148315D-02
 2709  -0.6213083205D+01  0.6984294644D-03  -0.1126733315D-02
 2710  -0.6213086344D+01  0.6981723801D-03  -0.1126318618D-02
 2711  -0.6213089475D+01  0.6979154828D-03  -0.1125904224D-02
 2712  -0.6213092596D+01  0.6976587724D-03  -0.1125490133D-02
 2713  -0.6213095708D+01  0.6974022486D-03  -0.1125076345D-02
 2714  -0.6213098810D+01  0.6971459113D-03  -0.1124662859D-02
 2715  -0.6213101904D+01  0.6968897603D-03  -0.1124249676D-02
 2716  -0.6213104988D+01  0.6966337953D-03  -0.1123836794D-02
 2717  -0.6213108063D+01  0.6963780162D-03  -0.1123424213D-02
 2718  -0.6213111129D+01  0.6961224228D-03  -0.1123011934D-02
 2719  -0.6213114186D+01  0.6958670148D-03  -0.1122599955D-02
 2720  -0.6213117233D+01  0.6956117921D-03  -0.1122188277D-02
 2721  -0.6213120272D+01  0.6953567545D-03  -0.1121776899D-02
 2722  -0.6213123302D+01  0.6951019017D-03  -0.1121365821D-02
 2723  -0.6213126322D+01  0.6948472337D-03  -0.1120955042D-02
 2724  -0.6213129334D+01  0.6945927502D-03  -0.1120544563D-02
 2725  -0.6213132337D+01  0.6943384510D-03  -0.1120134382D-02
 2726  -0.6213135332D+01  0.6940843359D-03  -0.1119724500D-02
 2727  -0.6213138317D+01  0.6938304047D-03  -0.1119314916D-02
 2728  -0.6213141293D+01  0.6935766572D-03  -0.1118905630D-02
 2729  -0.6213144261D+01  0.6933230933D-03  -0.1118496641D-02
 2730  -0.6213147220D+01  0.6930697127D-03  -0.1118087950D-02
 2731  -0.6213150171D+01  0.6928165153D-03  -0.1117679555D-02
 2732  -0.6213153112D+01  0.6925635010D-03  -0.1117271457D-02
 2733  -0.6213156045D+01  0.6923106691D-03  -0.1116863656D-02
 2734  -0.6213158970D+01  0.6920580200D-03  -0.1116456150D-02
 2735  -0.6213161886D+01  0.6918055533D-03  -0.1116048940D-02
 2736  -0.6213164793D+01  0.6915532687D-03  -0.1115642025D-02
 2737  -0.6213167692D+01  0.6913011661D-03  -0.1115235406D-02
 2738  -0.6213170583D+01  0.6910492455D-03  -0.1114829081D-02
 2739  -0.6213173465D+01  0.6907975064D-03  -0.1114423050D-02
 2740  -0.6213176338D+01  0.6905459487D-03  -0.1114017313D-02
 2741  -0.6213179204D+01  0.6902945723D-03  -0.1113611871D-02
 2742  -0.6213182061D+01  0.6900433770D-03  -0.1113206721D-02
 2743  -0.6213184909D+01  0.6897923625D-03  -0.1112801865D-02
 2744  -0.6213187750D+01  0.6895415287D-03  -0.1112397302D-02
 2745  -0.6213190582D+01  0.6892908753D-03  -0.1111993031D-02
 2746  -0.6213193405D+01  0.6890404022D-03  -0.1111589052D-02
 2747  -0.6213196221D+01  0.6887901093D-03  -0.1111185365D-02
 2748  -0.6213199029D+01  0.6885399964D-03  -0.1110781970D-02
 2749  -0.6213201828D+01  0.6882900631D-03  -0.1110378866D-02
 2750  -0.6213204619D+01  0.6880403094D-03  -0.1109976053D-02
 2751  -0.6213207402D+01  0.6877907351D-03  -0.1109573530D-02
 2752  -0.6213210178D+01  0.6875413400D-03  -0.1109171298D-02
 2753  -0.6213212945D+01  0.6872921237D-03  -0.1108769356D-02
 2754  -0.6213215704D+01  0.6870430863D-03  -0.1108367704D-02
 2755  -0.6213218455D+01  0.6867942276D-03  -0.1107966341D-02
 2756  -0.6213221198D+01  0.6865455472D-03  -0.1107565267D-02
 2757  -0.6213223934D+01  0.6862970452D-03  -0.1107164482D-02
 2758  -0.6213226661D+01  0.6860487211D-03  -0.1106763985D-02
 2759  -0.6213229381D+01  0.6858005750D-03  -0.1106363777D-02
 2760  -0.6213232093D+01  0.6855526065D-03  -0.1105963856D-02
 2761  -0.6213234797D+01  0.6853048155D-03  -0.1105564223D-02
 2762  -0.6213237493D+01  0.6850572019D-03  -0.1105164878D-02
 2763  -0.6213240182D+01  0.6848097654D-03  -0.1104765819D-02
 2764  -0.6213242863D+01  0.6845625058D-03  -0.1104367047D-02
 2765  -0.6213245536D+01  0.6843154230D-03  -0.1103968561D-02
 2766  -0.6213248202D+01  0.6840685168D-03  -0.1103570361D-02
 2767  -0.6213250860D+01  0.6838217870D-03  -0.1103172447D-02
 2768  -0.6213253510D+01  0.6835752334D-03  -0.1102774819D-02
 2769  -0.6213256153D+01  0.6833288559D-03  -0.1102377476D-02
 2770  -0.6213258789D+01  0.6830826542D-03  -0.1101980417D-02
 2771  -0.6213261417D+01  0.6828366281D-03  -0.1101583643D-02
 2772  -0.6213264037D+01  0.6825907775D-03  -0.1101187153D-02
 2773  -0.6213266650D+01  0.6823451022D-03  -0.1100790947D-02
 2774  -0.6213269256D+01  0.6820996020D-03  -0.1100395025D-02
 2775  -0.6213271854D+01  0.6818542768D-03  -0.1099999386D-02
 2776  -0.6213274445D+01  0.6816091264D-03  -0.1099604030D-02
 2777  -0.6213277028D+01  0.6813641505D-03  -0.1099208956D-02
 2778  -0.6213279604D+01  0.6811193489D-03  -0.1098814165D-02
 2779  -0.6213282173D+01  0.6808747217D-03  -0.1098419657D-02
 2780  -0.6213284735D+01  0.6806302685D-03  -0.1098025430D-02
 2781  -0.6213287289D+01  0.6803859891D-03  -0.1097631484D-02
 2782  -0.6213289836D+01  0.6801418835D-03  -0.1097237820D-02
 2783  -0.6213292376D+01  0.6798979513D-03  -0.1096844437D-02
 2784  -0.6213294909D+01  0.6796541924D-03  -0.1096451334D-02
 2785  -0.6213297435D+01  0.6794106067D-03  -0.1096058512D-02
 2786  -0.6213299954D+01  0.6791671939D-03  -0.1095665969D-02
 2787  -0.6213302465D+01  0.6789239539D-03  -0.1095273707D-02
 2788  -0.6213304970D+01  0.6786808865D-03  -0.1094881724D-02
 2789  -0.6213307468D+01  0.6784379916D-03  -0.1094490021D-02
 2790  -0.6213309958D+01  0.6781952688D-03  -0.1094098596D-02
 2791  -0.6213312442D+01  0.6779527182D-03  -0.1093707450D-02
 2792  -0.6213314918D+01  0.6777103394D-03  -0.1093316582D-02
 2793  -0.6213317388D+01  0.6774681323D-03  -0.1092925992D-02
 2794  -0.6213319851D+01  0.6772260968D-03  -0.1092535680D-02
 2795  -0.6213322307D+01  0.6769842327D-03  -0.1092145645D-02
 2796  -0.6213324756D+01  0.6767425397D-03  -0.1091755887D-02
 2797  -0.6213327199D+01  0.6765010177D-03  -0.1091366407D-02
 2798  -0.6213329634D+01  0.6762596666D-03  -0.1090977203D-02
 2799  -0.6213332063D+01  0.6760184861D-03  -0.1090588275D-02
 2800  -0.6213334485D+01  0.6757774761D-03  -0.1090199623D-02
 2801  -0.6213336900D+01  0.6755366364D-03  -0.1089811246D-02
 2802  -0.6213339309D+01  0.6752959668D-03  -0.1089423145D-02
 2803  -0.6213341711D+01  0.6750554672D-03  -0.1089035320D-02
 2804  -0.6213344107D+01  0.6748151373D-03  -0.1088647769D-02
 2805  -0.6213346495D+01  0.6745749770D-03  -0.1088260492D-02
 2806  -0.6213348877D+01  0.6743349862D-03  -0.1087873490D-02
 2807  -0.6213351253D+01  0.6740951647D-03  -0.1087486762D-02
 2808  -0.6213353622D+01  0.6738555122D-03  -0.1087100307D-02
 2809  -0.6213355984D+01  0.6736160284D-03  -0.1086714126D-02
 2810  -0.6213358341D+01  0.6733767137D-03  -0.1086328218D-02
 2811  -0.6213360690D+01  0.6731375673D-03  -0.1085942582D-02
 2812  -0.6213363033D+01  0.6728985895D-03  -0.1085557220D-02
 2813  -0.6213365370D+01  0.6726597798D-03  -0.1085172129D-02
 2814  -0.6213367700D+01  0.6724211381D-03  -0.1084787310D-02
 2815  -0.6213370024D+01  0.6721826643D-03  -0.1084402764D-02
 2816  -0.6213372342D+01  0.6719443582D-03  -0.1084018488D-02
 2817  -0.6213374653D+01  0.6717062196D-03  -0.1083634483D-02
 2818  -0.6213376958D+01  0.6714682483D-03  -0.1083250750D-02
 2819  -0.6213379257D+01  0.6712304443D-03  -0.1082867287D-02
 2820  -0.6213381549D+01  0.6709928073D-03  -0.1082484094D-02
 2821  -0.6213383835D+01  0.6707553371D-03  -0.1082101171D-02
 2822  -0.6213386115D+01  0.6705180335D-03  -0.1081718518D-02
 2823  -0.6213388389D+01  0.6702808964D-03  -0.1081336134D-02
 2824  -0.6213390656D+01  0.6700439257D-03  -0.1080954020D-02
 2825  -0.6213392918D+01  0.6698071212D-03  -0.1080572174D-02
 2826  -0.6213395173D+01  0.6695704826D-03  -0.1080190597D-02
 2827  -0.6213397422D+01  0.6693340098D-03  -0.1079809288D-02
 2828  -0.6213399666D+01  0.6690977026D-03  -0.1079428247D-02
 2829  -0.6213401903D+01  0.6688615610D-03  -0.1079047474D-02
 2830  -0.6213404134D+01  0.6686255847D-03  -0.1078666968D-02
 2831  -0.6213406359D+01  0.6683897735D-03  -0.1078286730D-02
 2832  -0.6213408578D+01  0.6681541272D-03  -0.1077906758D-02
 2833  -0.6213410791D+01  0.6679186458D-03  -0.1077527053D-02
 2834  -0.6213412998D+01  0.6676833289D-03  -0.1077147615D-02
 2835  -0.6213415199D+01  0.6674481766D-03  -0.1076768442D-02
 2836  -0.6213417394D+01  0.6672131886D-03  -0.1076389536D-02
 2837  -0.6213419584D+01  0.6669783647D-03  -0.1076010894D-02
 2838  -0.6213421767D+01  0.6667437047D-03  -0.1075632518D-02
 2839  -0.6213423945D+01  0.6665092085D-03  -0.1075254408D-02
 2840  -0.6213426116D+01  0.6662748760D-03  -0.1074876561D-02
 2841  -0.6213428282D+01  0.6660407068D-03  -0.1074498979D-02
 2842  -0.6213430443D+01  0.6658067010D-03  -0.1074121661D-02
 2843  -0.6213432597D+01  0.6655728582D-03  -0.1073744607D-02
 2844  -0.6213434746D+01  0.6653391785D-03  -0.1073367817D-02
 2845  -0.6213436889D+01  0.6651056615D-03  -0.1072991290D-02
 2846  -0.6213439026D+01  0.6648723073D-03  -0.1072615026D-02
 2847  -0.6213441158D+01  0.6646391154D-03  -0.1072239024D-02
 2848  -0.6213443284D+01  0.6644060858D-03  -0.1071863286D-02
 2849  -0.6213445404D+01  0.6641732186D-03  -0.1071487809D-02
 2850  -0.6213447519D+01  0.6639405130D-03  -0.1071112594D-02
 2851  -0.6213449628D+01  0.6637079694D-03  -0.1070737641D-02
 2852  -0.6213451732D+01  0.6634755874D-03  -0.1070362950D-02
 2853  -0.6213453830D+01  0.6632433668D-03  -0.1069988519D-02
 2854  -0.6213455922D+01  0.6630113076D-03  -0.1069614350D-02
 2855  -0.6213458010D+01  0.6627794096D-03  -0.1069240441D-02
 2856  -0.6213460091D+01  0.6625476725D-03  -0.1068866793D-02
 2857  -0.6213462167D+01  0.6623160962D-03  -0.1068493405D-02
 2858  -0.6213464238D+01  0.6620846805D-03  -0.1068120276D-02
 2859  -0.6213466303D+01  0.6618534254D-03  -0.1067747407D-02
 2860  -0.6213468363D+01  0.6616223306D-03  -0.1067374798D-02
 2861  -0.6213470417D+01  0.6613913960D-03  -0.1067002447D-02
 2862  -0.6213472466D+01  0.6611606211D-03  -0.1066630355D-02
 2863  -0.6213474510D+01  0.6609300065D-03  -0.1066258522D-02
 2864  -0.6213476548D+01  0.6606995514D-03  -0.1065886947D-02
 2865  -0.6213478581D+01  0.6604692558D-03  -0.1065515630D-02
 2866  -0.6213480609D+01  0.6602391196D-03  -0.1065144570D-02
 2867  -0.6213482631D+01  0.6600091425D-03  -0.1064773768D-02
 2868  -0.6213484648D+01  0.6597793245D-03  -0.1064403223D-02
 2869  -0.6213486660D+01  0.6595496653D-03  -0.1064032935D-02
 2870  -0.6213488667D+01  0.6593201649D-03  -0.1063662904D-02
 2871  -0.6213490668D+01  0.6590908230D-03  -0.1063293129D-02
 2872  -0.6213492665D+01  0.6588616395D-03  -0.1062923610D-02
 2873  -0.6213494656D+01  0.6586326142D-03  -0.1062554347D-02
 2874  -0.6213496642D+01  0.6584037471D-03  -0.1062185339D-02
 2875  -0.6213498623D+01  0.6581750378D-03  -0.1061816587D-02
 2876  -0.6213500599D+01  0.6579464862D-03  -0.1061448090D-02
 2877  -0.6213502569D+01  0.6577180923D-03  -0.1061079847D-02
 2878  -0.6213504535D+01  0.6574898558D-03  -0.1060711859D-02
 2879  -0.6213506496D+01  0.6572617766D-03  -0.1060344126D-02
 2880  -0.6213508451D+01  0.6570338544D-03  -0.1059976646D-02
 2881  -0.6213510402D+01  0.6568060892D-03  -0.1059609420D-02
 2882  -0.6213512347D+01  0.6565784809D-03  -0.1059242448D-02
 2883  -0.6213514288D+01  0.6563510290D-03  -0.1058875729D-02
 2884  -0.6213516224D+01  0.6561237339D-03  -0.1058509263D-02
 2885  -0.6213518154D+01  0.6558965950D-03  -0.1058143049D-02
 2886  -0.6213520080D+01  0.6556696123D-03  -0.1057777088D-02
 2887  -0.6213522001D+01  0.6554427854D-03  -0.1057411380D-02
 2888  -0.6213523917D+01  0.6552161146D-03  -0.1057045923D-02
 2889  -0.6213525828D+01  0.6549895994D-03  -0.1056680718D-02
 2890  -0.6213527734D+01  0.6547632397D-03  -0.1056315764D-02
 2891  -0.6213529636D+01  0.6545370354D-03  -0.1055951061D-02
 2892  -0.6213531532D+01  0.6543109863D-03  -0.1055586610D-02
 2893  -0.6213533424D+01  0.6540850923D-03  -0.1055222409D-02
 2894  -0.6213535310D+01  0.6538593531D-03  -0.1054858458D-02
 2895  -0.6213537193D+01  0.6536337689D-03  -0.1054494758D-02
 2896  -0.6213539071D+01  0.6534083392D-03  -0.1054131307D-02
 2897  -0.6213540943D+01  0.6531830639D-03  -0.1053768106D-02
 2898  -0.6213542811D+01  0.6529579429D-03  -0.1053405155D-02
 2899  -0.6213544675D+01  0.6527329761D-03  -0.1053042452D-02
 2900  -0.6213546533D+01  0.6525081632D-03  -0.1052679999D-02
 2901  -0.6213548388D+01  0.6522835042D-03  -0.1052317794D-02
 2902  -0.6213550237D+01  0.6520589988D-03  -0.1051955837D-02
 2903  -0.6213552081D+01  0.6518346469D-03  -0.1051594129D-02
 2904  -0.6213553921D+01  0.6516104484D-03  -0.1051232668D-02
 2905  -0.6213555757D+01  0.6513864031D-03  -0.1050871455D-02
 2906  -0.6213557588D+01  0.6511625109D-03  -0.1050510490D-02
 2907  -0.6213559414D+01  0.6509387715D-03  -0.1050149771D-02
 2908  -0.6213561236D+01  0.6507151849D-03  -0.1049789300D-02
 2909  -0.6213563053D+01  0.6504917509D-03  -0.1049429075D-02
 2910  -0.6213564866D+01  0.6502684693D-03  -0.1049069096D-02
 2911  -0.6213566674D+01  0.6500453401D-03  -0.1048709363D-02
 2912  -0.6213568478D+01  0.6498223629D-03  -0.1048349876D-02
 2913  -0.6213570277D+01  0.6495995378D-03  -0.1047990635D-02
 2914  -0.6213572072D+01  0.6493768645D-03  -0.1047631639D-02
 2915  -0.6213573862D+01  0.6491543428D-03  -0.1047272888D-02
 2916  -0.6213575648D+01  0.6489319727D-03  -0.1046914382D-02
 2917  -0.6213577430D+01  0.6487097540D-03  -0.1046556121D-02
 2918  -0.6213579207D+01  0.6484876865D-03  -0.1046198104D-02
 2919  -0.6213580980D+01  0.6482657701D-03  -0.1045840331D-02
 2920  -0.6213582748D+01  0.6480440046D-03  -0.1045482802D-02
 2921  -0.6213584512D+01  0.6478223899D-03  -0.1045125516D-02
 2922  -0.6213586272D+01  0.6476009258D-03  -0.1044768474D-02
 2923  -0.6213588028D+01  0.6473796122D-03  -0.1044411676D-02
 2924  -0.6213589779D+01  0.6471584488D-03  -0.1044055120D-02
 2925  -0.6213591525D+01  0.6469374355D-03  -0.1043698806D-02
 2926  -0.6213593268D+01  0.6467165722D-03  -0.1043342735D-02
 2927  -0.6213595006D+01  0.6464958588D-03  -0.1042986907D-02
 2928  -0.6213596739D+01  0.6462752951D-03  -0.1042631320D-02
 2929  -0.6213598469D+01  0.6460548810D-03  -0.1042275975D-02
 2930  -0.6213600195D+01  0.6458346164D-03  -0.1041920871D-02
 2931  -0.6213601916D+01  0.6456145012D-03  -0.1041566008D-02
 2932  -0.6213603633D+01  0.6453945351D-03  -0.1041211387D-02
 2933  -0.6213605346D+01  0.6451747178D-03  -0.1040857006D-02
 2934  -0.6213607056D+01  0.6449550497D-03  -0.1040502865D-02
 2935  -0.6213608761D+01  0.6447355301D-03  -0.1040148964D-02
 2936  -0.6213610461D+01  0.6445161590D-03  -0.1039795303D-02
 2937  -0.6213612158D+01  0.6442969362D-03  -0.1039441881D-02
 2938  -0.6213613851D+01  0.6440778618D-03  -0.1039088699D-02
 2939  -0.6213615539D+01  0.6438589355D-03  -0.1038735757D-02
 2940  -0.6213617224D+01  0.6436401571D-03  -0.1038383053D-02
 2941  -0.6213618904D+01  0.6434215264D-03  -0.1038030588D-02
 2942  -0.6213620581D+01  0.6432030435D-03  -0.1037678361D-02
 2943  -0.6213622253D+01  0.6429847079D-03  -0.1037326373D-02
 2944  -0.6213623922D+01  0.6427665199D-03  -0.1036974624D-02
 2945  -0.6213625586D+01  0.6425484790D-03  -0.1036623113D-02
 2946  -0.6213627247D+01  0.6423305852D-03  -0.1036271839D-02
 2947  -0.6213628903D+01  0.6421128383D-03  -0.1035920802D-02
 2948  -0.6213630556D+01  0.6418952381D-03  -0.1035570002D-02
 2949  -0.6213632204D+01  0.6416777847D-03  -0.1035219440D-02
 2950  -0.6213633849D+01  0.6414604776D-03  -0.1034869114D-02
 2951  -0.6213635490D+01  0.6412433170D-03  -0.1034519024D-02
 2952  -0.6213637127D+01  0.6410263025D-03  -0.1034169170D-02
 2953  -0.6213638760D+01  0.6408094341D-03  -0.1033819553D-02
 2954  -0.6213640389D+01  0.6405927115D-03  -0.1033470171D-02
 2955  -0.6213642014D+01  0.6403761348D-03  -0.1033121024D-02
 2956  -0.6213643636D+01  0.6401597036D-03  -0.1032772113D-02
 2957  -0.6213645254D+01  0.6399434179D-03  -0.1032423436D-02
 2958  -0.6213646868D+01  0.6397272775D-03  -0.1032074994D-02
 2959  -0.6213648478D+01  0.6395112824D-03  -0.1031726787D-02
 2960  -0.6213650085D+01  0.6392954322D-03  -0.1031378814D-02
 2961  -0.6213651687D+01  0.6390797269D-03  -0.1031031075D-02
 2962  -0.6213653286D+01  0.6388641665D-03  -0.1030683570D-02
 2963  -0.6213654881D+01  0.6386487506D-03  -0.1030336298D-02
 2964  -0.6213656473D+01  0.6384334792D-03  -0.1029989260D-02
 2965  -0.6213658060D+01  0.6382183521D-03  -0.1029642455D-02
 2966  -0.6213659644D+01  0.6380033693D-03  -0.1029295883D-02
 2967  -0.6213661225D+01  0.6377885304D-03  -0.1028949543D-02
 2968  -0.6213662801D+01  0.6375738355D-03  -0.1028603436D-02
 2969  -0.6213664374D+01  0.6373592842D-03  -0.1028257560D-02
 2970  -0.6213665944D+01  0.6371448766D-03  -0.1027911917D-02
 2971  -0.6213667509D+01  0.6369306125D-03  -0.1027566506D-02
 2972  -0.6213669071D+01  0.6367164918D-03  -0.1027221326D-02
 2973  -0.6213670630D+01  0.6365025142D-03  -0.1026876377D-02
 2974  -0.6213672185D+01  0.6362886796D-03  -0.1026531659D-02
 2975  -0.6213673736D+01  0.6360749879D-03  -0.1026187172D-02
 2976  -0.6213675284D+01  0.6358614390D-03  -0.1025842915D-02
 2977  -0.6213676828D+01  0.6356480328D-03  -0.1025498889D-02
 2978  -0.6213678369D+01  0.6354347690D-03  -0.1025155093D-02
 2979  -0.6213679906D+01  0.6352216475D-03  -0.1024811526D-02
 2980  -0.6213681439D+01  0.6350086683D-03  -0.1024468189D-02
 2981  -0.6213682969D+01  0.6347958312D-03  -0.1024125082D-02
 2982  -0.6213684496D+01  0.6345831360D-03  -0.1023782204D-02
 2983  -0.6213686019D+01  0.6343705826D-03  -0.1023439554D-02
 2984  -0.6213687539D+01  0.6341581708D-03  -0.1023097134D-02
 2985  -0.6213689055D+01  0.6339459005D-03  -0.1022754942D-02
 2986  -0.6213690568D+01  0.6337337716D-03  -0.1022412978D-02
 2987  -0.6213692077D+01  0.6335217839D-03  -0.1022071242D-02
 2988  -0.6213693583D+01  0.6333099373D-03  -0.1021729734D-02
 2989  -0.6213695086D+01  0.6330982318D-03  -0.1021388453D-02
 2990  -0.6213696585D+01  0.6328866670D-03  -0.1021047400D-02
 2991  -0.6213698080D+01  0.6326752428D-03  -0.1020706575D-02
 2992  -0.6213699573D+01  0.6324639592D-03  -0.1020365976D-02
 2993  -0.6213701062D+01  0.6322528161D-03  -0.1020025603D-02
 2994  -0.6213702547D+01  0.6320418131D-03  -0.1019685458D-02
 2995  -0.6213704030D+01  0.6318309503D-03  -0.1019345538D-02
 2996  -0.6213705509D+01  0.6316202275D-03  -0.1019005845D-02
 2997  -0.6213706984D+01  0.6314096446D-03  -0.1018666377D-02
 2998  -0.6213708457D+01  0.6311992014D-03  -0.1018327135D-02
 2999  -0.6213709926D+01  0.6309888977D-03  -0.1017988118D-02
 3000  -0.6213711392D+01  0.6307787335D-03  -0.1017649326D-02
 3001  -0.6213712854D+01  0.6305687086D-03  -0.1017310760D-02
 3002  -0.6213714313D+01  0.6303588229D-03  -0.1016972418D-02
 3003  -0.6213715770D+01  0.6301490762D-03  -0.1016634300D-02
 3004  -0.6213717222D+01  0.6299394684D-03  -0.1016296407D-02
 3005  -0.6213718672D+01  0.6297299993D-03  -0.1015958737D-02
 3006  -0.6213720118D+01  0.6295206690D-03  -0.1015621292D-02
 3007  -0.6213721561D+01  0.6293114771D-03  -0.1015284070D-02
 3008  -0.6213723002D+01  0.6291024235D-03  -0.1014947071D-02
 3009  -0.6213724438D+01  0.6288935081D-03  -0.1014610295D-02
 3010  -0.6213725872D+01  0.6286847310D-03  -0.1014273743D-02
 3011  -0.6213727302D+01  0.6284760917D-03  -0.1013937413D-02
 3012  -0.6213728730D+01  0.6282675902D-03  -0.1013601305D-02
 3013  -0.6213730154D+01  0.6280592264D-03  -0.1013265420D-02
 3014  -0.6213731575D+01  0.6278510002D-03  -0.1012929757D-02
 3015  -0.6213732993D+01  0.6276429112D-03  -0.1012594316D-02
 3016  -0.6213734408D+01  0.6274349598D-03  -0.1012259096D-02
 3017  -0.6213735820D+01  0.6272271454D-03  -0.1011924098D-02
 3018  -0.6213737229D+01  0.6270194680D-03  -0.1011589321D-02
 3019  -0.6213738634D+01  0.6268119276D-03  -0.1011254764D-02
 3020  -0.6213740037D+01  0.6266045238D-03  -0.1010920429D-02
 3021  -0.6213741437D+01  0.6263972567D-03  -0.1010586314D-02
 3022  -0.6213742833D+01  0.6261901260D-03  -0.1010252419D-02
 3023  -0.6213744227D+01  0.6259831317D-03  -0.1009918745D-02
 3024  -0.6213745617D+01  0.6257762737D-03  -0.1009585290D-02
 3025  -0.6213747005D+01  0.6255695517D-03  -0.1009252055D-02
 3026  -0.6213748389D+01  0.6253629656D-03  -0.1008919039D-02
 3027  -0.6213749771D+01  0.6251565154D-03  -0.1008586243D-02
 3028  -0.6213751149D+01  0.6249502009D-03  -0.1008253665D-02
 3029  -0.6213752525D+01  0.6247440219D-03  -0.1007921307D-02
 3030  -0.6213753898D+01  0.6245379783D-03  -0.1007589167D-02
 3031  -0.6213755267D+01  0.6243320701D-03  -0.1007257245D-02
 3032  -0.6213756634D+01  0.6241262970D-03  -0.1006925542D-02
 3033  -0.6213757998D+01  0.6239206589D-03  -0.1006594056D-02
 3034  -0.6213759359D+01  0.6237151558D-03  -0.1006262788D-02
 3035  -0.6213760717D+01  0.6235097874D-03  -0.1005931738D-02
 3036  -0.6213762072D+01  0.6233045536D-03  -0.1005600905D-02
 3037  -0.6213763424D+01  0.6230994544D-03  -0.1005270289D-02
 3038  -0.6213764774D+01  0.6228944895D-03  -0.1004939890D-02
 3039  -0.6213766120D+01  0.6226896590D-03  -0.1004609707D-02
 3040  -0.6213767464D+01  0.6224849624D-03  -0.1004279741D-02
 3041  -0.6213768805D+01  0.6222803999D-03  -0.1003949992D-02
 3042  -0.6213770143D+01  0.6220759712D-03  -0.1003620458D-02
 3043  -0.6213771478D+01  0.6218716763D-03  -0.1003291140D-02
 3044  -0.6213772811D+01  0.6216675150D-03  -0.1002962038D-02
 3045  -0.6213774140D+01  0.6214634871D-03  -0.1002633151D-02
 3046  -0.6213775467D+01  0.6212595926D-03  -0.1002304479D-02
 3047  -0.6213776791D+01  0.6210558313D-03  -0.1001976022D-02
 3048  -0.6213778112D+01  0.6208522031D-03  -0.1001647780D-02
 3049  -0.6213779431D+01  0.6206487078D-03  -0.1001319752D-02
 3050  -0.6213780746D+01  0.6204453455D-03  -0.1000991939D-02
 3051  -0.6213782059D+01  0.6202421157D-03  -0.1000664340D-02
 3052  -0.6213783369D+01  0.6200390186D-03  -0.1000336955D-02
 3053  -0.6213784677D+01  0.6198360539D-03  -0.1000009784D-02
 3054  -0.6213785982D+01  0.6196332215D-03  -0.9996828257D-03
 3055  -0.6213787284D+01  0.6194305213D-03  -0.9993560810D-03
 3056  -0.6213788583D+01  0.6192279532D-03  -0.9990295495D-03
 3057  -0.6213789880D+01  0.6190255170D-03  -0.9987032310D-03
 3058  -0.6213791174D+01  0.6188232126D-03  -0.9983771252D-03
 3059  -0.6213792465D+01  0.6186210399D-03  -0.9980512320D-03
 3060  -0.6213793754D+01  0.6184189988D-03  -0.9977255510D-03
 3061  -0.6213795040D+01  0.6182170890D-03  -0.9974000820D-03
 3062  -0.6213796324D+01  0.6180153106D-03  -0.9970748249D-03
 3063  -0.6213797604D+01  0.6178136633D-03  -0.9967497796D-03
 3064  -0.6213798883D+01  0.6176121473D-03  -0.9964249456D-03
 3065  -0.6213800158D+01  0.6174107619D-03  -0.9961003229D-03
 3066  -0.6213801432D+01  0.6172095075D-03  -0.9957759112D-03
 3067  -0.6213802702D+01  0.6170083837D-03  -0.9954517104D-03
 3068  -0.6213803969D+01  0.6168073904D-03  -0.9951277203D-03
 3069  -0.6213805235D+01  0.6166065276D-03  -0.9948039406D-03
 3070  -0.6213806497D+01  0.6164057951D-03  -0.9944803710D-03
 3071  -0.6213807757D+01  0.6162051927D-03  -0.9941570116D-03
 3072  -0.6213809015D+01  0.6160047204D-03  -0.9938338619D-03
 3073  -0.6213810270D+01  0.6158043779D-03  -0.9935109219D-03
 3074  -0.6213811522D+01  0.6156041654D-03  -0.9931881913D-03
 3075  -0.6213812772D+01  0.6154040824D-03  -0.9928656699D-03
 3076  -0.6213814020D+01  0.6152041290D-03  -0.9925433575D-03
 3077  -0.6213815265D+01  0.6150043051D-03  -0.9922212540D-03
 3078  -0.6213816507D+01  0.6148046104D-03  -0.9918993590D-03
 3079  -0.6213817747D+01  0.6146050449D-03  -0.9915776725D-03
 3080  -0.6213818984D+01  0.6144056085D-03  -0.9912561941D-03
 3081  -0.6213820219D+01  0.6142063010D-03  -0.9909349239D-03
